"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL48029";"";"None";"304.39";"0";"4.32";"11";"c1ccc(COc2ccc(CCNc3ccncc3)cc2)cc1";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"22.62";"0.41";"2.57";"20.16";"0";"CHEMBL856827";"Displacement of [35S]MK-499 from hERG potassium channel expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141373";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";"";"";"130.0"
"CHEMBL2158563";"";"None";"507.45";"1";"4.36";"33";"CCN(CC)CCOc1cc(-c2nc(SCC(=O)NC)nc3[nH]cc(C#N)c23)c(Cl)cc1Cl";"IC50";"'='";"3140.0";"nM";"5.50";"";"";"UO_0000065";"10.84";"0.23";"1.14";"5.15";"0";"CHEMBL2162322";"Displacement of [3H]-dofetilide from human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2157917";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";"";"";"";"3.14"
"CHEMBL4102140";"";"None";"377.35";"0";"2.43";"17";"N#C[C@H]1CCOC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(OC(F)F)cc2)n1";"IC50";"'='";"25000.0";"nM";"4.60";"";"";"UO_0000065";"12.20";"0.23";"2.17";"4.00";"0";"CHEMBL4033008";"Displacement of [35S]-MK499 from human ERG expressed in HEK293 cell membranes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028908";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";"25000.0"
"CHEMBL4096821";"";"None";"378.40";"0";"1.41";"19";"N#C[C@H]1CCOC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(-n3ccnn3)cc2)n1";"IC50";"'='";"13200.0";"nM";"4.88";"";"";"UO_0000065";"12.89";"0.24";"3.47";"3.57";"0";"CHEMBL4033008";"Displacement of [35S]-MK499 from human ERG expressed in HEK293 cell membranes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028908";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";"";"";"";"13200.0"
"CHEMBL1771096";"";"None";"377.50";"0";"2.89";"36";"Cc1cnc(N2CCC(C3CCN(c4cc(C)nc(C#N)n4)CC3)CC2)cn1";"IC50";"'='";"10600.0";"nM";"4.97";"";"";"UO_0000065";"13.18";"0.24";"2.08";"6.08";"0";"CHEMBL1771845";"Inhibition of human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1770133";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"10600.0"
"CHEMBL487273";"";"None";"344.44";"0";"2.39";"3";"NC(=O)Nc1sc(-c2ccccc2)cc1C(=O)N[C@H]1CCCNC1";"IC50";"'>'";"31600.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL4037438";"Inhibition of human ERG expressed in CHO cells at -80 mV holding potential by patch clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033783";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"";"31.6"
"CHEMBL5992117";"";"None";"349.47";"0";"4.24";"BDBM388555";"CN(C)C[C@H](c1ccc2ccccc2c1)[C@H](OCCO)c1ccccc1";"IC50";"'='";"6600.0";"nM";"5.18";"";"776468";"UO_0000065";"14.82";"0.27";"0.94";"15.84";"0";"CHEMBL5733769";"Activity Assay: HERG: The pre- and post-compound hERG current was evoked by a single voltage pulse consisting of a 20 s period holding at −70 mV, a 160 ms step to −60 mV (to obtain an estimate of leak), a 100 ms step back to −70 mV, a 1 s step to +40 mV, a 2 s step to −30 mV, and finally a 500 ms step to −70 mV. In between the pre- and post-compound voltage pulses, there was no clamping of the membrane potential. Currents were leak-subtracted based on the estimate of current evoked during the +10 mV step at the start of the voltage pulse protocol. The current signal was sampled at 2.5 k Hz. For each compound, the IC50 value was determined.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726960";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"6600.0"
"CHEMBL5998115";"";"None";"269.39";"0";"3.19";"BDBM388532";"CNCC(CCc1ccccc1)[C@H](O)c1ccccc1";"IC50";"'='";"15000.0";"nM";"4.82";"";"776349";"UO_0000065";"17.91";"0.33";"1.63";"14.95";"0";"CHEMBL5733769";"Activity Assay: HERG: The pre- and post-compound hERG current was evoked by a single voltage pulse consisting of a 20 s period holding at −70 mV, a 160 ms step to −60 mV (to obtain an estimate of leak), a 100 ms step back to −70 mV, a 1 s step to +40 mV, a 2 s step to −30 mV, and finally a 500 ms step to −70 mV. In between the pre- and post-compound voltage pulses, there was no clamping of the membrane potential. Currents were leak-subtracted based on the estimate of current evoked during the +10 mV step at the start of the voltage pulse protocol. The current signal was sampled at 2.5 k Hz. For each compound, the IC50 value was determined.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726960";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"15000.0"
"CHEMBL27759";"ENTINOSTAT";"3.0";"376.42";"0";"3.34";"3, SNDX-275";"Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL1810945";"Inhibition of human ERG by automated patch clamp assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"30.0"
"CHEMBL1808624";"";"None";"322.36";"0";"2.29";"15h";"O=C(/C=C/c1ccc2c(c1)CN(C(=O)Cc1ccccc1)C2)NO";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1810945";"Inhibition of human ERG by automated patch clamp assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"30.0"
"CHEMBL1808633";"";"None";"345.38";"0";"1.30";"16h";"O=C(/C=C/c1ccc2c(c1)CN(S(=O)(=O)c1cccnc1)C2)NO";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1810945";"Inhibition of human ERG by automated patch clamp assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806458";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";"";"";"30.0"
"CHEMBL3317856";"GEPOTIDACIN";"3.0";"448.53";"0";"1.09";"GSK2140944";"O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1";"IC50";"'='";"588.0";"ug.mL-1";"";"Outside typical range";"";"UO_0000274";"";"";"";"";"0";"CHEMBL4036596";"Inhibition of human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033742";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"588.0"
"CHEMBL2165069";"";"None";"469.52";"0";"1.77";"7f, enantiomer B";"COc1ccc2ncc(=O)n(CCN3CC[C@H](NCc4cc5c(cn4)OCCO5)[C@@H](F)C3)c2c1";"IC50";"'='";"75000.0";"nM";"4.12";"";"";"UO_0000065";"8.79";"0.17";"2.35";"4.55";"0";"CHEMBL2166761";"Inhibition of human ERG by Ionworks assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163267";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"75.0"
"CHEMBL2165066";"";"None";"476.51";"0";"1.80";"S,R-8c";"N#Cc1ccc2ccc(=O)n(CCN3CC[C@@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](F)C3)c2c1";"IC50";"'='";"168000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2166761";"Inhibition of human ERG by Ionworks assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163267";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"168.0"
"CHEMBL5932959";"";"None";"305.42";"0";"4.27";"BDBM388551";"CNCC(C[C@H](O)c1ccccc1)c1ccc2ccccc2c1";"IC50";"'='";"21000.0";"nM";"4.68";"";"776444";"UO_0000065";"15.32";"0.28";"0.41";"14.50";"0";"CHEMBL5733769";"Activity Assay: HERG: The pre- and post-compound hERG current was evoked by a single voltage pulse consisting of a 20 s period holding at −70 mV, a 160 ms step to −60 mV (to obtain an estimate of leak), a 100 ms step back to −70 mV, a 1 s step to +40 mV, a 2 s step to −30 mV, and finally a 500 ms step to −70 mV. In between the pre- and post-compound voltage pulses, there was no clamping of the membrane potential. Currents were leak-subtracted based on the estimate of current evoked during the +10 mV step at the start of the voltage pulse protocol. The current signal was sampled at 2.5 k Hz. For each compound, the IC50 value was determined.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726960";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"21000.0"
"CHEMBL5315124";"LEVOFLOXACIN";"4.0";"740.76";"0";"1.54";"Levofloxacin";"C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O";"IC50";"'='";"915000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"1";"CHEMBL2400450";"Inhibition of human ERG current by patch clamp assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2396647";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"915.0"
"CHEMBL850";"SPARFLOXACIN";"4.0";"392.41";"0";"2.08";"Sparfloxacin";"C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1";"IC50";"'='";"33600.0";"nM";"4.47";"";"";"UO_0000065";"11.40";"0.22";"2.39";"4.45";"1";"CHEMBL2400452";"Binding affinity to human ERG F656A tandem dimeric mutant expressed in HEK293 cells assessed as inhibition of tail current measured upon repolarization to -120 mV by patch clamp method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"Q12809";"F656A";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2396647";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"CHEMBL3307715";"";"";"";"33.6"
"CHEMBL5315124";"LEVOFLOXACIN";"4.0";"740.76";"0";"1.54";"Levofloxacin";"C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O";"IC50";"'>'";"5000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2400454";"Binding affinity to human ERG Y652A tetrameric mutant expressed in HEK293 cells assessed as inhibition of tail current measured upon repolarization to -40 mV by patch clamp method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"Q12809";"Y652A";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2396647";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"CHEMBL3307715";"";"";"";"5.0"
"CHEMBL429734";"";"None";"573.09";"2";"6.88";"(-)-40";"Cc1oc(-c2cccc(Cl)c2)nc1CCOc1cccc(C[C@@H]2C(=O)N(c3ccc(C(C)(C)C)cc3)[C@@H]2C(=O)O)c1";"IC50";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"10.02";"0.19";"-1.14";"6.19";"0";"CHEMBL933193";"Inhibition of human ERG by FLIPR assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142250";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"1.8"
"CHEMBL2386636";"";"None";"337.43";"0";"4.00";"34";"C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CCC#N)CC1";"IC50";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"13.93";"0.26";"0.70";"5.19";"0";"CHEMBL2390363";"Inhibition of human ERG channel expressed in HEK293 cells by patch clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2385026";"1";"Scientific Literature";"J Med Chem";"2013";"CHEMBL3307715";"";"";"";"20.0"
"CHEMBL2386633";"";"None";"309.37";"0";"3.22";"31";"C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](C#N)CC1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2390363";"Inhibition of human ERG channel expressed in HEK293 cells by patch clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2385026";"1";"Scientific Literature";"J Med Chem";"2013";"CHEMBL3307715";"";"";"";"100.0"
"CHEMBL1829633";"";"None";"519.52";"1";"2.79";"14g";"O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@](O)(c3ccc4c(c3)OCO4)CC2)C1";"IC50";"'='";"13500.0";"nM";"4.87";"";"";"UO_0000065";"9.37";"0.18";"2.08";"4.86";"0";"CHEMBL1831617";"Displacement of [3H]astemizole from human ERG expressed in HEK293 cells after 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828623";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307715";"";"";"";"13.5"
"CHEMBL1829618";"";"None";"460.50";"0";"3.36";"12a";"O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@H](c3cccnc3)CC2)C1";"IC50";"'='";"3800.0";"nM";"5.42";"";"";"UO_0000065";"11.77";"0.22";"2.06";"7.29";"0";"CHEMBL1831617";"Displacement of [3H]astemizole from human ERG expressed in HEK293 cells after 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828623";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307715";"";"";"";"3.8"
"CHEMBL4073176";"";"None";"494.93";"0";"2.24";"52";"COC(=O)C1=C(CN2CCOC[C@H]2C(=O)O)NC(c2nccs2)=NC1c1ccc(F)cc1Cl";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4028623";"Inhibition of human ERG expressed in HEK293 cells at -80 mV holding potential by manual-patch-clamp electrophysiology assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4024802";"1";"Scientific Literature";"J Med Chem";"2018";"CHEMBL3307715";"";"";"";"30.0"
"CHEMBL4095407";"";"None";"525.41";"1";"3.14";"(R)-49";"CCOC(=O)C1=C(CN2CCOC[C@H]2C(=O)O)NC(c2nccs2)=N[C@H]1c1ccc(Cl)cc1Cl";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4028623";"Inhibition of human ERG expressed in HEK293 cells at -80 mV holding potential by manual-patch-clamp electrophysiology assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4024802";"1";"Scientific Literature";"J Med Chem";"2018";"CHEMBL3307715";"";"";"";"30.0"
"CHEMBL209324";"";"None";"417.58";"0";"2.88";"8";"COc1ccccc1N1CCN(CCCCNS(=O)(=O)c2ccc(C)cc2)CC1";"IC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL853270";"Inhibition of hERG potassium channel in HEK293 cells by patch clamp assay";"T";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147799";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3307715";"";"";"";"5000.0"
"CHEMBL4069245";"";"None";"452.51";"0";"1.31";"32";"Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(=O)n(C)n2)C3=O)ccc2c1COC2=O";"IC50";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"10.38";"0.19";"3.39";"4.48";"0";"CHEMBL4030056";"Inhibition of human ERG by PatchXpress method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028831";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"20.0"
"CHEMBL1223600";"";"None";"355.50";"0";"3.64";"16";"CC(C)c1ccc(CS(=O)(=O)c2ccc([C@]34CNC[C@H]3C4)cc2)cc1";"IC50";"'='";"3162.28";"nM";"5.50";"";"";"UO_0000065";"15.47";"0.30";"1.86";"11.91";"0";"CHEMBL1225700";"Inhibition of human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221332";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"5.5"
"CHEMBL1255595";"";"None";"340.42";"0";"3.26";"6d";"Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)o1";"IC50";"'='";"2.8";"nM";"8.55";"";"";"UO_0000065";"25.12";"0.47";"5.29";"12.45";"0";"CHEMBL1259359";"Inhibition of human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1255514";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"2.8"
"CHEMBL1257820";"";"None";"364.49";"0";"3.79";"6f";"NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCCc2ccccc2)c1";"IC50";"'='";"0.25";"nM";"9.60";"";"";"UO_0000065";"26.34";"0.49";"5.81";"17.28";"0";"CHEMBL1259359";"Inhibition of human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1255514";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"0.25"
"CHEMBL1258047";"";"None";"337.42";"0";"2.75";"6j";"NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccncc2)c1";"IC50";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"26.15";"0.48";"6.07";"12.89";"0";"CHEMBL1259359";"Inhibition of human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1255514";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"1.5"
"CHEMBL1258502";"";"None";"357.45";"0";"1.78";"6s";"NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC(=O)N2CCCC2)c1";"IC50";"'>'";"33.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1259359";"Inhibition of human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1255514";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"33.0"
"CHEMBL1258961";"";"None";"362.47";"0";"3.85";"9g";"NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3C2(c3ccccc3)CC2)c1";"IC50";"'='";"4.8";"nM";"8.32";"";"";"UO_0000065";"22.95";"0.42";"4.47";"14.97";"0";"CHEMBL1259359";"Inhibition of human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1255514";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"4.8"
"CHEMBL1257459";"";"None";"385.89";"0";"3.97";"9n";"C[C@H](c1ccnc(Cl)c1)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2";"IC50";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"20.44";"0.40";"3.92";"11.52";"0";"CHEMBL1259359";"Inhibition of human ERG";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1255514";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"13.0"
"CHEMBL1172999";"";"None";"499.49";"0";"3.39";"35";"CC(Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ccc(C#N)cc2F)CC1)C(F)(F)F";"IC50";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"11.06";"0.22";"2.13";"6.09";"0";"CHEMBL1177037";"Inhibition of human ERG expressed in CHO cells by patch clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1177706";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3308072";"";"";"";"3.0"
