"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5426983";"";"None";"500.59";"1";"4.40";"38";"Cc1c(OCCNCCCF)ncc(F)c1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1C[C@@H](C)C(=O)O";"IC50";"'>'";"40000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5381577";"Inhibition of human ERG tail current by plate-based planar patch clamp method";"T";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5380788";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"";"";"40.0"
"CHEMBL5426160";"";"None";"500.59";"1";"4.40";"39";"Cc1c(OCCNCCCF)ncc(F)c1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1C[C@H](C)C(=O)O";"IC50";"'>'";"40000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL5381577";"Inhibition of human ERG tail current by plate-based planar patch clamp method";"T";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5380788";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"";"";"40.0"
"CHEMBL4530872";"";"None";"386.76";"0";"2.29";"GFB-8438";"O=C1CN(c2cn[nH]c(=O)c2Cl)CCN1Cc1ccccc1C(F)(F)F";"IC50";"'='";"8700.0";"nM";"5.06";"";"";"UO_0000065";"13.08";"0.27";"2.77";"7.30";"0";"CHEMBL4410995";"Inhibition of human ERG stably expressed in HEK293 cells measured at holding potential of -90 mV by manual patch clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4406916";"1";"Scientific Literature";"ACS Med Chem Lett";"2019";"CHEMBL3307715";"";"";"";"8.7"
"CHEMBL2170070";"";"None";"365.48";"0";"3.82";"33d";"Cc1cc(OCCN2C[C@@H](C)O[C@@H](C)C2)nn1-c1ccc2ccccc2c1";"IC50";"'='";"7400.0";"nM";"5.13";"";"";"UO_0000065";"14.04";"0.26";"1.31";"12.98";"0";"CHEMBL2173630";"Inhibition of human ERG transfected in HEK293 cell membranes by whole cell patch clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2169838";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3307715";"";"";"";"7.4"
"CHEMBL2170213";"";"None";"382.29";"0";"3.86";"14f";"CC(=O)C1CCN(CCOc2ccn(-c3ccc(Cl)c(Cl)c3)n2)CC1";"IC50";"'='";"4500.0";"nM";"5.35";"";"";"UO_0000065";"13.99";"0.29";"1.49";"11.29";"0";"CHEMBL2173630";"Inhibition of human ERG transfected in HEK293 cell membranes by whole cell patch clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2169838";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3307715";"";"";"";"4.5"
"CHEMBL2170225";"";"None";"356.25";"0";"3.20";"13a";"Cc1cc(OCCN2CCOCC2)nn1-c1ccc(Cl)c(Cl)c1";"IC50";"'='";"3500.0";"nM";"5.46";"";"";"UO_0000065";"15.31";"0.32";"2.26";"13.81";"0";"CHEMBL2173630";"Inhibition of human ERG transfected in HEK293 cell membranes by whole cell patch clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2169838";"1";"Scientific Literature";"J Med Chem";"2012";"CHEMBL3307715";"";"";"";"3.5"
"CHEMBL5403519";"";"None";"561.65";"2";"2.60";"29";"CC(=O)OC(C)(C)Cn1nc2c3cc(ccc31)Nc1nccc(n1)-n1cc(c(C)n1)CN(C)CCOCCNC2=O";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5365659";"Inhibition of human ERG by patch clamp assay";"T";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5365395";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2023";"None";"";"BLOCKER";"";"1.2"
"CHEMBL5431818";"";"None";"527.56";"1";"1.17";"2b";"CN(C)CC(=O)Nc1cc(F)c2c(c1)CC(CNCCC1CN(c3cnc4c(n3)NC(=O)CO4)C(=O)O1)C2";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5393330";"Inhibition of hERG potassium channel expressed in CHO cells by electrophysiological patch clamp assay";"T";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5390317";"1";"Scientific Literature";"ACS Med Chem Lett";"2023";"None";"";"";"";"20.0"
"CHEMBL5409145";"";"None";"541.58";"1";"1.56";"2i";"C[C@@H](C(=O)Nc1cc(F)c2c(c1)CC(CNCCC1CN(c3cnc4c(n3)NC(=O)CO4)C(=O)O1)C2)N(C)C";"IC50";"'='";"105000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5393330";"Inhibition of hERG potassium channel expressed in CHO cells by electrophysiological patch clamp assay";"T";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5390317";"1";"Scientific Literature";"ACS Med Chem Lett";"2023";"None";"";"BLOCKER";"";"105.0"
"CHEMBL523507";"";"None";"392.50";"0";"3.82";"17";"CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3c(O)cccc32)cc1";"IC50";"'='";"18310.0";"nM";"4.74";"";"";"UO_0000065";"12.07";"0.22";"0.92";"7.67";"0";"CHEMBL989030";"Inhibition of human ERG channel in HEK293 cells by voltage-clamp method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140111";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307715";"";"";"";"18310.0"
