"SMARTS","property","name"
"[$([CX3]([#6,#7,#8;!$([OH])])(=[OX1])[CX4H1]([#1,#6])[CX4]([!a])([!a])([$([OX2][Sv6X4](=[OX1])(=[OX1])[OH]),$([OX2][Sv6X4](=[OX1])(=[OX1])[OX2][CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CF3]),$([OX2][Sv6X4](=[OX1])(=[OX1])c1ccc([CH3])cc1),I,Br,Cl])),$([CX3H1](=[OX1])[CX4H1]([#1,#6])[CX4]([$([OX2][Sv6X4](=[OX1])(=[OX1])[OH]),$([OX2][Sv6X4](=[OX1])(=[OX1])[OX2][CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CH3]),$([OX2][Sv6X4](=[OX1])(=[OX1])[CF3]),$([OX2][Sv6X4](=[OX1])(=[OX1])c1ccc([CH3])cc1),I,Br,Cl]))]","Skin sensitization","Precursors of ?, ?-unsaturated aldehydes, amides, esters and ketones (2)"
"[CX4,a!r0][CX3](=[OX1])[CH2][CX3](=[OX1])[CX4,a!r0]","Skin sensitization","1,3-Diketones"
"[CX3]([H])(=[OX1])[#1,CX4,a!r0]","Skin sensitization","Aldehydes"
"[CX4,a!r0][CX3](=[OX1])[CX4,a!r0]","Skin sensitization","Ketones"
"[$([NX3][CH2][NX3]),$([NX3][CH2][OX2]),$([CX4]([F,Cl,Br,I])([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[CH2][OH1])]","Skin sensitization","Formaldehyde donors"
"[CX4]([OX2])([OX2])([CX4,a!r0])[CX4,a!r0]","Skin sensitization","Precursors of aldehydes and ketones"
"[CX3]=[CX3]([#6,#1])[OX2]","Skin sensitization","Enol precursor of aldehydes and ketones"
"[a!r0][$([NX3H2]),$([NX3H1][CX4,a!r0])]","Skin sensitization","Aromatic primary and secondary amines"
"[CX3](=[OX1])[NX3]([Cl,Br])[CX3](=[OX1])","Skin sensitization","N-Haloimides"
"[Sv6X4](=[OX1])(=[OX1])[NX3H1]Cl","Skin sensitization","N-Chloro-sulfonamides"
"[CX4,a!r0][SX2][SX2][CX4,a!r0]","Skin sensitization","Disullides"
"c1ccccc1[OX2][CX3](=[OX1])[OX2][CX4,a!r0]","Skin sensitization","Phenyl carbonates"
"[CX4]1[CX4][OX2]1","Skin sensitization","Epoxides"
"[CX4,a!r0][CX3](=[OX1])[CX3](=[OX1])[#1,CX4,a!r0]","Skin sensitization","1.2-Dicarbonyls"
"[$([SX2]1[CX3]([CX4,a!r0])=[CX3]([CX4,a!r0])[CX3](=[OX1])[NX3]1([CX4,a!r0])),$([sX2]1[cX3]([CX4,a!r0])[cX3]([CX4,a!r0])[cX3](=[OX1])[nX3]1([CX4,a!r0]))]","Skin sensitization","Thiazolones"
"[CX4,a!r0][NX3H1][CX4][CX4][NX3H1][CX4,a!r0]","Skin sensitization","1, 2-Diamines"
"[$([a!r0][NX2]=[NX2]c1c([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cccc1),$([a!r0][NX2]=[NX2]c1ccc([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc1),$([a!r0][NX2]=[NX2]c1c([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc1),$([a!r0][NX2]=[NX2]c1c([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc([$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])cc1[$([NH2]),$([NX3H1][CX4]),$([NX3]([CX4])[CX4]),$([NX3H1][CX3](=[OX1])[CH3]),$([NX3H1][CX3](=[OX1])[CX4]),$([OH]),$([O-]),$([OX2][CX4]),$([CH3]),$([CH2][CH3]),$([CH]=[CH2])])]","Skin sensitization","Amine precursor - aromatic azo compound"
"[NX4+]([CX4,a!r0])([CX4,a!r0])([CX4,a!r0])[CX4,a!r0]","Skin sensitization","Quaternary ammonium cation"
"[$(n1c([F,Cl])ncnc1),$(n1c([F,Cl])ccnc1),$(n1c([F,Cl])nccc1)]","Skin sensitization","Activated N-heterocycle halides"
"[$([cR1]1[cR1][cR1][cR1][cR2]2[nR1][cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1][cR2]12),$([cR1]1[cR1][cR1][cR1][cR2]2[nR1][cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]([F,Cl])[cR2]12),$([cR1]1[cR1][cR1][cR1][cR2]2[cR1]([F,Cl])[nR1][cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR2]12),$([cR1]1[cR1][cR1][cR1][cR2]2[cR1][nR1][cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR2]12),$([nR1]1[cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1][cR1][cR1]1),$([nR1]1[cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]([F,Cl])[cR1][cR1]1),$([nR1]1[cR1]([F,Cl])[cR1][cR1][cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]1),$([nR1]1[cR1][cR1][cR1]([F,Cl])[cR1]([$([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CX3](=[OX1])[OX2][#1,#6]),$([Sv6X4](=[OX1])(=[OX1])[OH]),$([CX3](=[OX1])[#1,F,Cl,Br,I]),$([CX2]#[NX1]),$([CX4]([F,Cl])([F,Cl])[F,Cl]),$([CH2][OH]),$([CH2][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]),$([CH2][F,Cl])])[cR1]1)]","Skin sensitization","Activated halo-pyridines, quinolines, and isoquinolines"
"[$([NX3H2][NX3]([#1,#6;!$([CX3](=[OX1])[#1,#6])])[#1,#6;!$([CX3](=[OX1])[#1,#6])]),$([NX4H2+]([#1,#6;!$([CX3](=[OX1])[#1,#6])])[NX3]([#1,#6;!$([CX3](=[OX1])[#1,#6])])[#1,#6;!$([CX3](=[OX1])[#1,#6])]),$([NX4H3+][NX4H2+][#1,#6;!$([CX3](=[OX1])[#1,#6])]),$([NX3!R]([#1,#6!R;!$([CX3](=[OX1])[#1,#6])])([#1,#6!R;!$([CX3](=[OX1])[#1,#6])])[NX2!R]=[CX3!R]([*!R])([*!R])),$([NX3!R]([#1,#6!R;!$([CX3](=[OX1])[#1,#6])])([#1,#6!R;!$([CX3](=[OX1])[#1,#6])])[NX3+!R]=[CX3!R]([*!R])([*!R]))]","Skin sensitization","Hydrazines, hydrazonium salts and precursors"
"[F,Cl,Br][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","Skin sensitization","Acid halides"
"[CX3H1](=[OX1])[#1,#6]","Skin sensitization","Aldehydes"
"[$([F,Cl][cR1]1[cR1]([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[cR1][cR1]([F,Cl,$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([CX2]#[NX1]),$([CX3](=[OX1])([$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])),$([CX3](=[OX1])[OX2][$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])])[cR1][cR1]1),$([F,Cl][cR1]1[cR1]([F,Cl,$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([CX2]#[NX1]),$([CX3](=[OX1])([$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])),$([CX3](=[OX1])[OX2][$([CH3]),$([CH2][CH3]),$([CH2][CH2][CH3]),$([CH]([CH3])[CH3]),$([CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH3]),$([CH2][CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH3]),$([CH]([CH3])[CH2][CH2][CH3]),$([CH2][CH]([CH3])[CH2][CH3]),$([CH2][CH2][CH]([CH3])[CH3]),$([CH]([CH2][CH3])[CH2][CH3]),$([CH]([CH3])[CH]([CH3])[CH3]),$([CH0]([CH3])([CH3])[CH2][CH3]),$([CH2][CH0]([CH3])([CH3])[CH3]),$([CH2][CH2][CH2][CH2][CH2]),$([CX4]1[CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4]1),$([CX4]1[CX4][CX4][CX4][CX4][CX4]1),$([CH2]c1ccccc1)])])[cR1][cR1]([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])[cR1][cR1]1)]","Skin sensitization","Halonitrobenzenes"
"[a!r0][Sv4X3](=[OX1])[$([OH]),$([O-])]","Skin sensitization","Aromatic sulphuric acids and salts"
"[$([CX3](=[OX1])[OX2][CX3](=[OX1])),$([CX3](=[OX1])[OX2][OX2][CX3](=[OX1]))]","Skin sensitization","Acid anhydrides"
"[NX2]=[CX2]=[OX1,SX1]","Skin sensitization","Iso(thio)cyanates"
