"SMARTS","property","name"
"[NX3]([#1,C])([#1,C])[$([NX3+](=[OX1])[O-]),$([NX3](=O)=O)]","Genotoxic carcinogenicity, mutagenicity","Aliphatic N-nitro group"
"C[CX3;H1]=[CX3;H1][OX2][#6]","Genotoxic carcinogenicity, mutagenicity","?, ?-Unsaturated aliphatic alkoxy group"
"[a!r0][NX2]=[OX1]","Genotoxic carcinogenicity, mutagenicity","Aromatic nitroso group"
"[O-][N+]1=CC=CC=C1","Genotoxic carcinogenicity, mutagenicity","Aromatic ring N-oxide"
"[a!r0][$([NX3+](=[OX1])[O-]),$([NX3](=[OX1])=[OX1]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH]);!$([NX3]aa-[Sv6X4](=[OX1])(=[OX1])[OH]);!$([NX3]aaa-[Sv6X4](=[OX1])(=[OX1])[OH]);!$([NX3]aaaa-[Sv6X4](=[OX1])(=[OX1])[OH])]","Genotoxic carcinogenicity, mutagenicity","Nitro-aromatic"
"[a!r0][$([NH2]),$([NX3][OX2H1]),$([NX3][OX2][CX3H1](=[OX1])),$([NX2]=[CH2]),$([NX2]=C=[OX1]);!$([NX3,NX2]a(a-[!#1])a-[!#1]);!$([NX3,NX2]aa-C(=[OX1])[OH]);!$([NX3,NX2]aa-[Sv6X4](=[OX1])(=[OX1])[OH]);!$([NX3,NX2]aaa-[Sv6X4](=[OX1])(=[OX1])[OH]);!$([NX3,NX2]aaaa-[Sv6X4](=[OX1])(=[OX1])[OH])]","Genotoxic carcinogenicity, mutagenicity","Primary aromatic amine, hydroxyl amine and its derived esters or amine generating group"
"[a!r0][$([NX3;H1][CH3]),$([NX3;H1][CH2][CH3]),$([NX3]([CH3])[CH3]),$([NX3]([CH3])[CH2][CH3]),$([NX3]([CH2][CH3])[CH2][CH3]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH]);!$([NX3]aa-[Sv6X4](=[OX1])(=[OX1])[OH]);!$([NX3]aaa-[Sv6X4](=[OX1])(=[OX1])[OH]);!$([NX3]aaaa-[Sv6X4](=[OX1])(=[OX1])[OH])]","Genotoxic carcinogenicity, mutagenicity","Aromatic mono- and dialkylamine"
"[a!r0][$([NX3;H1]),$([NX3][CH3]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH]);!$([NX3]aa-[Sv6X4](=[OX1])(=[OX1])[OH]);!$([NX3]aaa-[Sv6X4](=[OX1])(=[OX1])[OH]);!$([NX3]aaaa-[Sv6X4](=[OX1])(=[OX1])[OH])][CX3](=[OX1])([$([#1]),$([CH3])])","Genotoxic carcinogenicity, mutagenicity","Aromatic N-acyl amine"
"[$([NX2]([a!r0])=[NX2][a!r0]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH])!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH]);!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH])]","Genotoxic carcinogenicity, mutagenicity","Aromatic diazo"
"[$(c1cccc2c1oc(=O)cc2),$(C1=CC(=O)OC2=CC=CC=C12),$(C1=CC(=O)Oc2ccccc12)]","Genotoxic carcinogenicity, mutagenicity","Coumarins and furocoumarins"
"c1ccccc1[$([Br,Cl,F,I]);!$([Br,Cl,F,I]aa[Br,Cl,F,I]);!$([Br,Cl,F,I]aaa[Br,Cl,F,I]);!$([Br,Cl,F,I]aa([OH])a([OH])a[OH]);!$([Br,Cl,F,I]aaa([OH])a([OH])a[OH]);!$([Br,Cl,F,I]aa([OH])a([OH])aa[OH])]","Non-genotoxic carcinogenicity","Halogenated benzene"
"[Br,Cl,F,I][$([cR1]1[cR1][cR1][cR1][cR1][cR1]1-[cR1]2[cR1][cR1][cR1][cR1][cR1]2),$([cR1]1[cR1][cR1][cR1][cR2]2[cR2]1[cR1][cR1][cR1][cR1]2)]","Non-genotoxic carcinogenicity","Halogenated PAH "
"[OR1]1[CR2]2=[CR1][CR1]=[CR1][CR1]=[CR2]2[OR1][CR2]3=[CR1][CR1]([F,Cl,Br,I])=[CR1][CR1]=[CR2]13","Non-genotoxic carcinogenicity","Halogenated dibenzodioxins"
"[$([a!r0][NX3;H2]),$([a!r0][NX3;H1][CH3]),$([a!r0][NX3;H1][CH2][CH3])]","Genotoxic carcinogenicity, mutagenicity","Primary and secondary aromatic amines "
"a[NX3]([$([CH3]),$([CH2][CH3])])[$([CH3]),$([CH2][CH3])]","Genotoxic carcinogenicity, mutagenicity","Tertiary aromatic amines "
"[$([a!r0][NX3;H1][CX3;H1](=[OX1])),$([a!r0][NX3;H1][CX3](=[OX1])[CH3])]","Genotoxic carcinogenicity, mutagenicity","Secondary aromatic acetamides and formamides"
"[a!r0][$([NX3+](=[OX1])[O-]),$([NX3](=O)(=O))]","Genotoxic carcinogenicity, mutagenicity","Nitroarenes"
"[a!r0][NX2]=[OX1]","Genotoxic carcinogenicity, mutagenicity","Nitrosoarenes"
"[a!r0][NX3;H1][OX2][#1,#6]","Genotoxic carcinogenicity, mutagenicity","Arylhydroxylamines"
"[NX3]([CX4])([CX4])[NX2]=[OX1]","Genotoxic carcinogenicity, mutagenicity","N-Nitroso-N-dialkylamines"
"[CX4,a!r0][CX3](=[OX1])[NX3]([CX4])[NX2]=[OX1]","Genotoxic carcinogenicity, mutagenicity","N-Nitroso-N-alkylamides"
"[OX1]=[NX2][NX3]([CX4])[CX3](=[OX1])[NX3H1][CX4,a!r0]","Genotoxic carcinogenicity, mutagenicity","N-Nitroso-N-alkylureas"
"[OX1]=[NX2][NX3]([CX4])[CX3](=[OX1])[OX2][CX4,a!r0]","Genotoxic carcinogenicity, mutagenicity","N-Nitroso-N-alkylcarbamates (aka urethanes)"
"[OX1]=[NX2][NX3]([CX4])[CX2]#[NX1]","Genotoxic carcinogenicity, mutagenicity","N-Nitroso-N-alkylnitriles"
"[OX1]=[NX2][NX3]([OH1])[#6]","Genotoxic carcinogenicity, mutagenicity","N-Nitroso-N-hydroxylamines"
"[NX3]([$([#1]),$([CX4]),$([a!r0])])([$([CX4!H0]),$([CX4][OH]),$([CX3]=[OX1])])[NX3]([$([#1]),$([CX4]),$([a!r0])])[$([#1]),$([CX4]),$([a!r0])]","Genotoxic carcinogenicity, mutagenicity","Hydrazines"
"[$([$([CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))[*!C])][NX3+](=O)=[NX2][$([CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))[*!C])]),$([$([CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))[*!C])][NX3](=O)=[NX2][$([CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))[*!C])]),$([$([CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))[*!C])][NX3+]([O-])=[NX2][$([CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))[CX4]([*!C])([*!C])([*!C])),$([CX4]([*!C])([*!C])([*!C])[CX4]([*!C])([*!C])[CX4]([*!C])([CX4]([*!C])([*!C])([*!C]))),$([CX4]([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))([CX4]([*!C])([*!C])([*!C]))[*!C])])]","Genotoxic carcinogenicity, mutagenicity","Azoxy alkane"
"[$([CX4]([$([OH]),$(C=O),$([NX3])])([!F!Cl!Br!I!C])([*!$(C)])[CH2][F,Cl,Br,I]),$([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])([*!$(C)])[CX4]([$([OH]),$(C=O),$([NX3])])([*!$(C)])[CH2][F,Cl,Br,I]),$([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])([*!$(C)])[CX4]([!F!Cl!Br!I!C])([*!$(C)])[CX4]([$([OH]),$(C=O),$([NX3])])([*!$(C)])[CH2][F,Cl,Br,I]),$([CX4]([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])[*!$(C)])([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])[*!$(C)])([$([OH]),$(C=O),$([NX3])])[CH2][F,Cl,Br,I]),$([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])([*!$(C)])[CX4]([!F!Cl!Br!I!C])([*!$(C)])[CX4]([!F!Cl!Br!I!C])([*!$(C)])[CX4]([*!$(C)])([$([OH]),$(C=O),$([NX3])])[CH2][F,Cl,Br,I]),$([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])([*!$(C)])[CX4]([*!$(C)])([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])([*!$(C)]))[CX4]([*!$(C)])([$([OH]),$(C=O),$([NX3])])[CH2][F,Cl,Br,I]),$([CX4]([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])[*!$(C)])([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])[*!$(C)])([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])[*!$(C)])[CH2][F,Cl,Br,I]),$([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])([*!$(C)])[CX4]([!F!Cl!Br!I!C])([*!$(C)])[CX4]([CX4]([!F!Cl!Br!I!C])([!F!Cl!Br!I!C])([*!$(C)]))([$([OH]),$(C=O),$([NX3])])[CH2][F,Cl,Br,I])]","Genotoxic carcinogenicity, mutagenicity","Aliphatic halides"
"[a!r0][CH2][Cl,Br,I]","Genotoxic carcinogenicity, mutagenicity","Benzylic halides"
"[CX4]1[OX2,NX3][CX4]1","Genotoxic carcinogenicity, mutagenicity","Oxiranes and aziridines"
"[OX2]1[CX4][CX4][CX3]1(=[OX1])","Genotoxic carcinogenicity, mutagenicity","Propiolactones"
"[$([CX4,a!r0][Sv6X4](=[OX1])(=[OX1])[OX2][$([CH3]),$([CH2][CH3])]),$([CX4,a!r0][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][$([CH3]),$([CH2][CH3])])]","Genotoxic carcinogenicity, mutagenicity","Alkyl esters of sulfonic and sulphuric acids "
"[$([CX4,a!r0][Pv5X4](=[OX1])([OX2][$([CH3]),$([CH2][CH3])])[OX2][$([CH3]),$([CH2][CH3])]),$([CX4,#1][OX2][Pv5X4](=[OX1])([OX2][CX4,#1])[OX2][$([CH3]),$([CH2][CH3])])]","Genotoxic carcinogenicity, mutagenicity","Alkyl esters of phosphonic and phosphoric acids "
"[CX4][OX2][Pv5X4](=[SX1])([OX2][CX4,#1])[OX2][$([CH3]),$([CH2][CH3])]","Genotoxic carcinogenicity, mutagenicity","Mixed alkyl esters of thiophosphoric acid"
"[NX3]([#1,#6])([#1,#6])[CH2][CH2][Cl,Br,I,F]","Genotoxic carcinogenicity, mutagenicity","Haloethylamines"
"[$([#6][OX2][CH2][CH2][Cl,Br,I]),$([#6][OX2][CH2][Cl,Br,I])]","Genotoxic carcinogenicity, mutagenicity","Haloalkylethers"
"[$([CX3](=[OX1])[CH2][Cl,Br,I]),$([CX4!H0]([OH1])[CH2][Cl,Br,I])]","Genotoxic carcinogenicity, mutagenicity","?-Halocarbonyl or a-halohydroxy"
"[#6][NX3]([#6])[Cl,Br,I,F]","Genotoxic carcinogenicity, mutagenicity","Haloamines"
"[CX3]=[CX3][CX3](=[OX1])[$([#1][CX3]=[OX1]),$([#6]([CX3]=[OX1])),$([OX2]([CX3]=[OX1])[#6]),$([NX3]([CX3]=[OX1])([#1,#6])[#1,#6])]","Genotoxic carcinogenicity, mutagenicity","?, ?-Unsaturated carbonyls "
"[CX3]=[CX3][CH2][$([Cl,Br,I]),$([OX2])]","Genotoxic carcinogenicity, mutagenicity","Allylic halides and alkoxides "
"[CX4]([H,F,Cl,Br,I])([H,F,Cl,Br,I])([H,F,Cl,Br,I])[F,Cl,Br,I]","Genotoxic carcinogenicity, mutagenicity","Halogenated methanes"
"[CX3]=[CX3H1][Cl,Br,I]","Genotoxic carcinogenicity, mutagenicity","Vinyl halides "
"[c;R1,R2,R3]1[c;R1,R2,R3][c;R1,R2,R3][c;R2,R3]2[c;R2,R3]([c;R1,R2,R3]1)[c;R1,R2,R3][c;R1,R2,R3][c;R1,R2,R3][c;R1,R2,R3]2","Genotoxic carcinogenicity, mutagenicity","Polycyclic aromatic hydrocarbons"
"[NX2]=[CX2]=[OX1]","Genotoxic carcinogenicity, mutagenicity","Isocyanate"
"[NX2]=[CX2]=[SX1]","Genotoxic carcinogenicity, mutagenicity","Isothiocyanate"
"[$([NX2]([a!r0])=[NX2][a!r0]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH])!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH]);!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH])]","Genotoxic carcinogenicity, mutagenicity","Azoarenes"
"[$([CX4,a][Sv6X4](=[OX1])(=[OX1])[OX2][CX4]),$([CX4,a][Pv5X4](=[OX1])([OX2][#1,CX4])[OX2][CX4])]","Genotoxic carcinogenicity, mutagenicity","Alkyl esters of phosphonic or sulphonic acids"
"[a!r0][$([NX3+](=[OX1])[O-]),$([NX3](=[OX1])=[OX1]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH])]","Genotoxic carcinogenicity, mutagenicity","Aromatic nitro groups"
"[$([NX2]([a!r0])=[NX2][a!r0]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH])!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH]);!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH])]","Genotoxic carcinogenicity, mutagenicity","Aromatic azo groups "
"[O-][N+]1=CC=CC=C1","Genotoxic carcinogenicity, mutagenicity","Aromatic rings N-oxides"
"[a!r0][$([NX3H1][CH3]),$([NX3H1][CH2][CH3]),$([NX3]([CH3])[CH3]),$([NX3]([CH3])[CH2][CH3]),$([NX3]([CH2][CH3])[CH2][CH3]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH])]","Genotoxic carcinogenicity, mutagenicity","Aromatic mono- and dialkylamino groups"
"[NX3]([CX4])([#1,CX4])[NX3]([#1,CX4])[#1,CX4]","Genotoxic carcinogenicity, mutagenicity","Alkyl hydrazines"
"[$([CX3]([H])(=[OX1])[#1,CX4])&!$([CX3]([H])(=[OX1])[CX3]=[CX3])]","Genotoxic carcinogenicity, mutagenicity","Alkyl aldehydes"
"[OH1][CH2][NX3]","Genotoxic carcinogenicity, mutagenicity","N-Methylol derivatives"
"[CX3]([CX4,#1])(Cl)=[CX3]([!F!Cl!Br!I])[CX4,#1]","Genotoxic carcinogenicity, mutagenicity","Monohaloalkenes"
"[F,Cl,Br,I][CH2][CH2][NX3,SX2][CH2][CH2][F,Cl,Br,I]","Genotoxic carcinogenicity, mutagenicity","?-Haloethyl N, S - mustards"
"[#6][NX3]([#6])Cl","Genotoxic carcinogenicity, mutagenicity","N-Chloroamines"
"[$([OX2]1[CX4][CX4][CX3]1(=[OX1])),$([CX4]1[CX4][CX4][Sv6;X4](=[OX1])(=[OX1])[OX2]1)]","Genotoxic carcinogenicity, mutagenicity","Propiolactones and propiosultones"
"[CX4]1[NX3][CX4]1","Genotoxic carcinogenicity, mutagenicity","Aromatic and aliphatic aziridinyl derivatives"
"[F,Cl,Br,I][CH2][CX4,a]","Genotoxic carcinogenicity, mutagenicity","Aromatic and aliphatic substituted primary alkyl halides"
"[NX3][CX3](=[OX1])[OX2]","Genotoxic carcinogenicity, mutagenicity","Derivatives of urethane (carbamates)"
"[a!r0][$([NH2]),$([NX3H1][#6]),$([NX3]([#6])[#6]),$([NX3]([#6,#1])[OX2H1]),$([NX3]([#6,#1])[OX2][CX3]=[OX1]);!$([NX3]a(a-[!#1])a-[!#1]);!$([NX3]aa-C(=[OX1])[OH])] ","Genotoxic carcinogenicity, mutagenicity","Aromatic amines "
"[$([CX4]1[OX2][CX4]1),$([#6]1=[#6][#8]1)]","Genotoxic carcinogenicity, mutagenicity","Aliphatic and aromatic epoxides"
"[$(c1([F,Cl,Br,I,$(N(=O)=O)])c([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])cc([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])cc1),$(c1([F,Cl,Br,I,$(N(=O)=O)])c([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),($(C(F)(F)F),$(S=O)])cccc1([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)]))]","Skin sensitization","Activated halo- or nitroaromatic compounds"
"[$(c1([F,Cl,Br,I,$(N(=O)=O)])ncc([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])cc1),$(c1([F,Cl,Br,I,$(N(=O)=O)])ncccc1([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)]))]","Skin sensitization","Activated halo- or nitropyridines"
"c1([F,Cl,Br,I,$(N(=O)=O)])ncccn1","Skin sensitization","2-Halo- or 2-nitropyrimidines"
"c1([F,Cl,Br,I,$(N(=O)=O)])ncncc1","Skin sensitization","4-Halo- or 4-nitropyrimidines"
"c1([F,Cl,Br,I,$(N(=O)=O)])ncc([F,Cl,Br,I,$(N(=O)=O),$(C#N),$(C=O),$(C(F)(F)F),$(S=O)])nc1","Skin sensitization","Activated 2-halo- or 2-nitropyrazines"
"c1nc([F,Cl,Br,I,$(N(=O)=O)])ncn1","Skin sensitization","Halo- or nitro s-triazines"
"[CH2]=[OX1,SX1]","Skin sensitization","Formaldehyde and thioformaldehyde"
"[CX4][CX3H1]=[OX1,SX1]","Skin sensitization","Aliphatic aldehydes and thioaldehydes"
"[a][CX3H1]=[OX1]","Skin sensitization","Aromatic aldehydes"
"C(C)(C)=CC=[OX1,SX1]","Skin sensitization","?, ?-Unsaturated carbonyl and thiocarbonyl compounds"
"[C;!r5]([C;!r5])=[C;!r5][C;!r5](C)=[OX1,SX1;!r5]","Skin sensitization","?, ?-Unsaturated ketones and  thioketones"
"[#6]C(=[OX1,SX1])C(=[OX1,SX1])[#6]","Skin sensitization","?-Diketones and ?-dithiones"
"[#6]C(=[OX1,SX1])[CX4]C(=[OX1,SX1])[#6]","Skin sensitization","?-Diketones and ?-dithiones"
"[#6][$([NX2]=O),$(N=C=O),$(OC#N),$(SC#N),$(N=C=S)]","Skin sensitization","C-Nitroso compounds,  iso(thio)cyanates, (thio)cyanate esters"
"[CH2][NH2]","Skin sensitization","Primary alkyl amines"
"[CH2][NX3]([CH3])[CH3]","Skin sensitization","Tertiary alkyl amines"
"[$(CC(C)=[CH][CH2][OH]),$(CC=C(C)[CH2][OH])]","Skin sensitization","?, ?-Unsaturated alkoxy "
"[CH,CH2,CH3;!$([CH2]CC=[O,S])]([F,Cl,Br,I,$(OS(=O)(=O)[#6,#1]),$(OS(=O)(=O)O[#6,#1])])[#6]1[O,N,SX2][#6]1","Skin sensitization","Three-membered heterocycles derivatives"
"C1C(=[O,S])[O,S][CH2,CH]1","Skin sensitization","Lactones and their thio analogues"
"[$(C=C),$(C#C),a][CH2,CH][O,S][$([CH]=O),$([CH]=S),$(C(C)=O),$(C(C)=S)]","Skin sensitization","Esters of aromatic and unsaturated alcohols and their thio analogues"
"[$(C=C),$(C#C),a][CH2,CH][O,S][a]","Skin sensitization","Aryloxy (arylthio) containing unsaturated compounds"
"[CH2,CH3][NX3][NX2]=[O,S]","Skin sensitization","Aliphatic N-(thio)nitroso compounds"
"c1ccc2cc3ccccc3cc2c1","Skin sensitization","Anthracene and anthracene-containing compounds"
"c1ccc2c(c1)ccc3ccccc23","Skin sensitization","Phenanthrene and phenanthrene-containing compounds"
"[CH2,CH]=[CH][$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]","Skin sensitization","Activated alkene (Michael acceptor) (1)"
"[CH2]=C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]","Skin sensitization","Activated alkene (Michael acceptor) (2)"
"aC=C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]","Skin sensitization","Activated alkene (Michael acceptor)"
"C#C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]","Skin sensitization","Activated alkine"
"[CH2,CH]=[CH]C=C[$(N(=[OX1])=[OX1]),$(C=O),$(C#N),$(S=O),$(C(=O)N),$(a)]","Skin sensitization","Activated conjugated dienes"
"C=C([F,Cl,Br,I])[F,Cl,Br,I]","Skin sensitization","Alkenes containing a gem-dihalo-substituted terminal double bond"
"c1c([O,NH2,NH])c([O,NH2,NH])ccc1","Skin sensitization","Ortho-disubstituted benzenes"
"c1c(=[O,NH2,NH])ccc(=[O,NH2,NH])c1","Skin sensitization","Para-disubstituted benzenes"
"[F,Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","Reactive, unstable, toxic","Haloanhydrides"
"[#6][CX3](=[OX1])n1cncc1","Reactive, unstable, toxic","Acylimidazoles"
